text,reply_to_message_id,mentioned
Спросите в чате Гили,2054492,False
,,False
,,False
"Ребята, может у кого-то есть пароль от wi-fi отеля Mowie's Gili Air?",,False
Нельзя,2054486,False
"Те, которые не пацаны)",2054478,False
"Скажите, а через бинанс сейчас нельзя переводить рубли?",,False
Спасибо,,False
"Мы в Yoda service возили, но есть ещё варианты. В группе поиском поищите",2054480,False
"Доброго времени суток ! 
Есть кто увлекается, береговой , рыбалкой ? 
Снасти с собой . Я готов составить компанию .",,False
"А кто знает, где можно починить мак на Бали? Экран перестал работать",,False
А извинятся кто будет?,2054453,False
"Здравствуйте❤️

У нас есть специальный чат @baliktoletit для тех, кто хочет передать посылку с теми, кто летит с Бали и на Бали и для тех, кто летит и готов взять посылку. Пожалуйста, размещайте свои запросы и предложения о передаче посылок в чате @baliktoletit

Напомню, что вы можете задать свой вопрос, написав Боте личное сообщение. ☺️
С любовью и заботой, ваш Ботя",2054475,False
"Всем привет , скажите пожалуйста 🙏 
Тем кто летел из Москвы через Шанхай , пересадка 9 часов , выпускают в город ?",,False
"Подскажите, где можно купить кальян и расходники, желательно с доставкой)",,False
А где дикие бананы можно сорвать?,,False
"Нашёл:

Контакты гидов на Бали
Внимание! Каталог балийских гидов теперь располагается прямо в разделе Гиды на Бали....

Есть ли на Бали русские гиды?
А есть ли на Бали русские гиды? В смысле экспаты подрабатывающие гидами?...

Гид Альберт
ВНИМАНИЕ! Иногда данный гид присылает вместо себя другого человека. Ни в коем случае не соглашайтесь на&n...",2054470,False
Ботя гиды,2054465,False
"Нормально дают,агентство в помощь  https://t.me/balichatvisa/483772",2054464,False
"Всем привет, подскажите большой магазин электроники в чангу? Нужны наушники беспроводные",,False
"Ник: Anna (@Anna_Tagirova)
Телеграм ID: 372701849
Карма: 0
Звание: Турист
На БалиФоруме уже: 543 дней.
Написал: 3 сообщений

Поставил:
Благодарностей: 0; Предупреждений: 0

Получил:
Благодарностей: 0; Предупреждений: 0",2054462,False
инфо,2054462,False
"Всем привет, посоветуйте русскоговорящего гида на Бали)",,False
Привет Всем✌️ Подскажите кто-то делал недавно визу тур в США b1/2 в индонезийском посольстве? Как сейчас дают русским гражданам?,,False
"Noiзe MC уже сегодня! 

На танцпол осталось около 50 билетов 🔥 
Уверенности, что будут билеты на входе у нас нет, поэтому советуем бронировать заранее, ещё есть время 😊",2049686,False
"Устроим, как всегда, несанкционированную! 🥳 Вон, может и Ратмир после работы подтянется, как устанет от кундалини спанкинга, да, @Ratko_Ratko?)",2054455,False
"Здравствуйте❤️

Если вы ищете информацию по оформлению шенгенской визы на Бали, загляните, пожалуйста, в обсуждение Оформление шенгенской визы на Бали.

Приглашаю и вас, друзья, делиться своими советами и отзывами.

С любовью и заботой, ваш БалиБотя",2054458,False
Подскажите кто недавно делал Шенген в Индонезии с китас - в какую страну подавали и визу давали по датам поездки или больше?,,False
"kimia farma apotek: 
Bug Allergy: insidal, tetracycline cream, or any other synonym in Kimia farma. If allergy coughs after bug or sun burn take dry mixter Edotin, amoxicillin. If got gangrenae or swallowing or green infection use wash detol then stripe with clean antibacterial textile stripe. For fungus treatment use Clotrimazole for allergy Elocon lution. All have in KIMIA FARMA",2049967,False
Жаль нас не позвали…,2054453,False
Тоже самое,2054453,False
А я хотела предложить совместить 😂,2054452,False
Предлагаю разделиться.,2054451,False
"Коллеги!!Еще раз настоятельно прошу проголосовать в рабочем чате о том,как будет проходить новогодний корпоратив:в стиле сериала «слово пацана» или голой вечеринки ивлеевой.Решить надо до конца сегодняшнего дня!!Всем спасибо",,False
Спасибо.,2054042,False
,2053775,False
,2054439,False
Ботя приливы,,False
Вспомнил Эпштейна,2054432,False
Спасибо,2054431,False
Тогда хорошо 👌🏼,2054434,False
"У меня друзья есть , купят )",2054431,False
Я думала лучок,2054430,False
"сначала тоже показалось, и вспомнил совет ,не покупать их рядом с синагогой,но это не про Бали",2054430,False
"Пишите или звоните в банк. Человек вроде писал, что ему ужаленно соглашались менять номер. Но удаленно купить симку ему так и не удалось… поэтому главная ваша проблема- как вы индонезийскую сим добудете, есим удаленно не продают",2054417,False
"Думал кольца кольмара,а оказалась картошка,можно выбрать обычную кстати",2054429,False
сколопендры в кляре?,2054420,False
"Панкуют с визуализацией,да",2054425,False
"Спасибо
Что-то не очень аппетитно выглядит, но если вкусно, то ок",2054423,False
Говядина с картошкой,2054421,False
Там обрыв,2054411,False
Что это?,2054420,False
,,False
,2054320,False
Как?,2054417,False
Дак я сделаю,2054416,False
А как тогда вы хотите изменить номер?,2054415,False
"На данную минуту нет , а что",2054414,False
У вас есть активная индо есим?,2054408,False
"Здравствуйте! ☺️

Есть несколько способов добраться до своего отеля или виллы из аэропорта Бали.

На БалиФоруме есть статья о транспорте в аэропорту Бали. В ней есть информация о видах транспорта и примерных ценах.

- Наиболее простой способ - взять такси в аэропорту. Сразу после выхода из зоны прилета вас встретят водители, готовые предложить свои услуги. В таком случае рекомендую обсудить цену поездки заранее, до того, как вы сядете в машину. Или договориться об использовании счетчика. Также можно обратиться на стойку аэропортового предоплаченного такси. Здесь фиксированные цены и сразу видна стоимость поездки.

- Если вы любите комфорт и хотите, чтобы вас встретил с табличной улыбчивый балиец, довел вас до авто и отвез в отель, вы можете заказать трансфер от вашего отеля или от компании MyBaliTrips.

- Также вы можете установить себе на телефон приложение и воспользоваться онлайн-такси: Grab, GoJek или Maxim. Они предлагают приятные цены для поездок по острову. Данные приложения могут быть полезны, если вы планируете пользоваться мототакси или заказывать товары и еду на дом.

Напомню, что вы можете задать свой вопрос, написав Боте личное сообщение ☺️

Приятной вам поездки!
С любовью и заботой, ваш Ботя",2054412,False
"Ботя, трансфер из аэропорта",2054381,False
"Прям белого песка тут нет. Максимально приближенный к белому это меласти, пандава и Нуса-Дуа. Там где вы нет спуска к пляжу?",2054382,False
"Он был , но перестал работать",2054408,False
Сделаю на е-сим,2054398,False
"Друзья, добрый день!

Подскажите, пожалуйста,  по последним данным какое количество русскоговорящих проживает на Бали на момент конца 2023 года?
 Может знаете источник где посмотреть, почитать.

Заранее благодарю! 🙏",,False
,,False
А у вас есть индо номер?,2054351,False
Это в Нуса Дуа тогда вам,2054382,False
"InDrive, Gojek",2054381,False
Вы можете заказать трансфер у @mybalitrips,2054381,False
"Про пермате был кейс,девушка звонила несколько раз в поддержку из России, что-бы поменять номер,в итоге ей привязали российский,но смс на него не приходят",2054351,False
"Привет! 😊

Обеспечить комфортное и безопасное передвижение по острову можно удобными сервисами такси. Их тут несколько: GoJek, Grab, Bluebird, Maxim, InDrive. 🚕

Подробнее про такси на Бали  читайте на БалиФоруме.

Приятных вам поездок! С любовью и заботой, ваш Ботя 😊",2054392,False
Ботя такси,2054381,False
Благодарю,2054387,False
район нуса дуа или меласти ),2054382,False
"вам однозначно нужно скачать приложение граб такси, и на гугл картах ориентироваться куда вы едете, а куда хотите. Качайте приложение, берите новое такси и на пляж 🌴",2054379,False
Тогда на мальдивы получается 🤣,2054382,False
,,False
такси из приложения mybluebird вроде могут в туристические места заезжать,2054379,False
В отель с хорошим пляжем. Белым песком.,2054380,False
"Подскажите как добраться до центра с аэропорта ?
Какими приложениями пользуетесь на Бали ?",,False
А куда вам надо?,2054379,False
,,False
Waroeng Kampoeng,2054370,False
"К проверенным обращайтесь из закрепа чата
https://t.me/balichatexchange/55612",2054366,False
https://t.me/balichatexchange,2054372,False
Да,2054228,False
дайте ссылку пожалуйста на чат обмена,2054371,False
200 да,2054369,False
Подскажите пожалуйста хороший вкусный варунг на Нуса дуа?,,False
какие лимиты примерно? 200$ смогу снять?,2054367,False
"Всем привет, подскажите где на Бали можно купить стики или бутылку для ионизации воды или сайты где можно заказать с доставкой на Бали? 🙏",,False
"Через банкомат можно, но суммы небольшие
Обычно курьер приезжает",2054363,False
можно ссылку плиз,2054364,False
"Можно попробовать написать им на почту, но не уверен что получится",2054351,False
"В чате обмена валют напишите, там помогут",2054363,False
мне нужно поменять юсдт на рупии)),,False
"а подскажите как с обмениками на бали?
могут наличкой выдать в банкомате?",,False
"Фух, спасибо за информацию)",2054358,False
"У меня в офиц. обменниках курс одинаковый был на все банкноты, хоть 1996 года . Главное они их поверят через машинку  и скажут -все ок )",2054343,False
Спасибо,2054350,False
😅😅 как странно,2054353,False
"Принимают, но курс может быть похуже",2054343,False
В центре поливает,2054348,False
а еще варианты есть? тк я в рф сейчас ))),2054349,False
В убуде толькл что был дождь ) ☔️,2054348,False
В самом банке с паспортом,2054346,False
"Кто в Убуде, есть сейчас дождь и был ли ?",,False
"ребята, подскажите, кто знает можно ли в банке пермата поменять привязанный номер телефона и как это сделать",,False
"Подскажите, где можно распечатать стикеры не оптом, а поштучно в районе Семиньяк/Денпасар?",,False
"Добрый день! Подскажите, пожалуйста, старые доллары в обменниках и банках принимают?😅",,False
"Хочу взять sofa за 8.4m , включено 6m на напитки еду, на нас трое , хорошо бы скинуться с еще 3 ) там на 6 чел",,False
"Ребят, кто хочет на нойз Мс сегодня вечером но еще не купил билет? )",,False
"В чате леди маркет поищите
@balichat_ladymarket, пожалуйста",2054336,False
"Нашёл:

Где поесть в Чангу: обзор кафе
Bungalow Living Bali на карте Очень красивое кафе! Приятный интересный дизайн. Вкусные напитки и сэндвичи! Раб...

Где поесть? Лучшие рестораны на Бали по кухням и по районам
Лучшие рестораны на Бали, собранные по районам:…В Куте, Семиньяке. Лучшие инстаграмные кафе в&nbsp...

Как питаться на $3 в день и выжить. Стритфуд на Бали
«На Бали дешевле питаться в кафе, чем готовить дома». Согласны с этим утверждением опытных ба...",2054338,False
Ботя рестораны Чангу,,False
"Бали 📍
Ищу мастера, который работает с хной, интересует окрашивание волос",,False
#бали переезды -Грузчики вместе с машиной  +62 812-3922-8903.         Грузовички Букит  https://t.me/balichat_bukit/134024,2054328,False
В gojek можно заказать опцию go box - они помогают с переездом и там можно запросить сколько человек нужно вам в помощь,2054328,False
"Привет, бич клабы ( конкретно FINN) в Чангу, они работают по системе депозита ? Или сюда бесплатно приходят и потом коктейли заказывают ? 

Мне на входе сказали депозит, если я правильно поняла",,False
"Привет всем👋
Нужен габаритный авто для перевозки груза 2x2 метра. 
Может есть у кого контакты? 🙏",,False
Добрый день! Есть кто то на Джимбаране?),,False
Ахахахаха))) тортики что надо! Спасибо ❤️,2054323,False
В леди маркете поищите,2054321,False
,2054294,False
,,False
"Бали 📍
Ищу мастера, который работает с хной, интересует окрашивание волос",,False
,2054283,False
"Нет, слава богу",2054312,False
,,False
Вы что-то у него купили?,2054309,False
Не высылает подтверждение,,False
Он мошенник,2054270,False
"Список чатов и правила публикаций на всех ресурсах  Балифорума

Напомню, что вы можете задать свой вопрос, написав Боте личное сообщение. ☺️",2054306,False
Ботя чаты,2054305,False
Пришлите чат пожалуйста,2054301,False
"Привет! Подскажите, где можно найти тарталетки??",,False
"Нашёл:

Оптика, очки, контактные линзы. Где купить контактные линзы?
Подскажите, пожалуйста, новеньким, где можно купить линзы на каждый день? Желательно в районе Джимбарана и&nbs...

жесткие ночные линзы
Может, кто знаком с ночными жесткими линзами? можно ли найти на Бали?...

Серфинг в контактных линзах. Прошу поделиться опытом.
У кого есть опыт катания в контактных линзах, поделитесь пожалуйста. На сколько я понял из инте...",2054302,False
"Ботя, линзы",2054297,False
В чате услуг,2054299,False
"Ник: Артур
Телеграм ID: 990738652
Карма: 0
Звание: Турист
На БалиФоруме уже: 42 дней.
Написал: 20 сообщений

Поставил:
Благодарностей: 0; Предупреждений: 0

Получил:
Благодарностей: 0; Предупреждений: 0",2054296,False
"Всем здравствуйте, ищу русскоговорящую няню на сейчас (Бали)",,False
"Ботя, инфо",2054296,False
,,False
"Спасибо, зарезил тут https://balihiredriver.com/rent-a-car-with-driver/",2053756,False
"Сохранила, спасибо)",2054018,False
Спасибо’,2054290,False
"На Бали купить технику Apple можно в следующих магазинах:
- iBox (магазины в Lippo Mall Kuta, Teuku Umar, Trans Studio Mall Bali),
- eWorld (в Денпасаре),
- Digimap (магазин в Bali Mall Gallery),
- Story-i (здесь же оказывают услуги ремонта).

Если вам нужна конкретная модель, то имеет смысл заранее им позвонить и уточнить. Обычно белый импорт.

Также хорошим вариантом является покупка онлайн на Токопедии. Там можно найти варианты дешевле, чем в магазинах. Выбирайте продавца по рейтингу и количеству продаж.
Там продается техника серого импорта (дешевле) и официального импорта (дороже, обычно обозначается как ""ibox"").

Подробнее читайте в статье на БалиФоруме.

Отремонтировать вашу технику Apple на Бали можно здесь: Yoda Service (лучшие!), Cellular World, Story-i, iTech.

Подробнее читайте в статье на БалиФоруме.",2054290,False
"Ботя, Apple",2054287,False
"Норм, ее сразу делают",2054286,False
"Нет, ничего",2054285,False
"Ребят, привет, а куда по гарантии apple можно IPhone отнести?",,False
"Привет)
Подскажите, пожалуйста, а за сколько времени до прилета в Индонезию можно податься на электронную визу е-VOA?

У меня прилет 31.12, в ночь с 30 на 31
Вот думаю норм или не норм за столько дней, получается если сегодня/завтра оформлять то это за 3-4 дня.",,False
В поиске не ищется?,2054279,False
"Реальный, возвратный или нет уже вам решать",2054282,False
"А что это за праздник для вас?
У вас в роду были римляне,которые его стали впервые праздновать?
Или может кто то из близких потомков Петра 1?Это ж он,после Голландии,с сифилисом,с поехавшей головой,возненавидел Россию,уничтожил кучу людей,подробности в личку,23 марта,ввел праздник,день становится длиннее ночи,звался праздник Яр,типа начало пригревающего солнца для будущего урожая,ну и победа света над тьмой,праздновали утром,не пили,не курили,очищались..Готовилисть к красной горке,детей зачинать хороших,а не это вот все.А сейчас что?
Ну да ладно,римляне то праздновали окончания сбора налогов,с порабощенных народов,так что празднуйте,с наступающим",2054203,False
"Брать реальный, возвратный?",2054278,False
"Привет! Хотите впервые сесть руль байка и не зависеть больше от Гоуджека? 🛵

На БалиФоруме есть статья о том, как выбрать мотоинструктора и на что обратить внимание при обучении. БалиФорум рекомендует школу обучения вождения, адаптированного под Азию, «MotoAcademy». 

Желаю всем безопасной езды! С любовью и заботой, ваш Ботя ☺️",2054280,False
"Здравствуйте 
Может кто-то знает Японский/Токийский чат русскоговорящего комьюнити в телеграме? Поделитесь, пожалуйста 🙏🏼🇯🇵",,False
Лучше не рисковать,2054277,False
"Инна, привет) Подскажи, пожалуйста, как сейчас с обратным билетом обстоят дела? Купитрип бронь подходит или уже нет? Не знаешь случайно?",2054274,False
Да,2054275,False
"а если не делать, а просто давать взятки?) такое возможно?",2054274,False
Можно сделать права через агентство в закрепе,2054273,False
"Всем привет, подскажите пожалуйста, у меня нет прав, но очень хочу ездить на байке, как со штрафами и взятками?) 
Как можно решить ситуацию и какие последствия?
Заранее благодарю",,False
"@Danger874 опубликуйте пожалуйста в маркет чате или чате мероприятий, список чатов в закрепе",2054255,False
